detecteddistrict,Confirmed,Recovered,Deceased,Active
,3419,1148,60,2211
Ahmednagar,702,450,20,232
Akola,1791,1420,91,280
Amravati,786,547,34,205
Aurangabad,7678,3541,323,3814
Beed,191,102,4,85
Bhandara,148,82,0,66
Buldhana,383,183,16,184
Chandrapur,145,91,0,54
Dhule,1408,834,72,502
Gadchiroli,96,66,1,29
Gondia,199,126,2,71
Hingoli,325,274,2,49
Jalgaon,5250,3146,323,1781
Jalna,882,475,36,371
Kolhapur,1061,761,17,283
Latur,606,276,28,302
Mumbai,88201,61307,5181,21713
Nagpur,1896,1348,19,529
Nanded,529,248,19,262
Nandurbar,235,149,10,76
Nashik,6521,3631,269,2621
Osmanabad,332,206,14,112
Other State,150,0,26,124
Palghar,8917,4519,170,4228
Parbhani,180,96,5,79
Pune,34875,15335,1014,18526
Raigad,7606,3487,150,3969
Ratnagiri,832,538,28,266
Sangli,552,277,14,261
Satara,1573,906,63,604
Sindhudurg,254,202,5,47
Solapur,3574,1986,333,1255
Thane,56805,24500,1534,30771
Unknown,-32689,-19268,-1139,-12282
Wardha,28,14,1,13
Washim,157,98,4,55
Yavatmal,376,259,14,103
