detecteddistrict,Confirmed,Recovered,Deceased,Active
Airport Quarantine,932,425,1,506
Airport quarantine,4,0,0,4
Ariyalur,497,457,0,40
CHENNAI,17,0,0,17
Chengalpattu,7633,4315,150,3168
Chennai,74947,54996,1192,18759
Coimbatore,1071,231,6,834
Cuddalore,1493,1007,5,481
Dharmapuri,224,74,1,149
Dindigul,749,398,7,344
Erode,323,40,6,277
KARUR,1,0,0,1
Kallakurichi,1621,807,4,810
Kancheepuram,3098,1254,41,1803
Kanyakumari,1070,402,4,664
Karur,189,91,3,95
Krishnagiri,225,157,4,64
MADURAI,9,0,0,9
Madurai,5472,1242,101,4129
Nagapattinam,347,145,1,201
Namakkal,150,47,1,102
Nilgiris,181,45,0,136
Other State,0,0,3,-3
Perambalur,172,160,1,11
Pudukkottai,534,246,8,280
Railway Quarantine,422,325,0,97
Ramanathapuram,1691,667,32,992
Ranipet,1415,649,10,756
Salem,1630,661,7,962
Sivaganga,720,425,11,284
TENKASI,2,0,0,2
Tenkasi,596,297,1,298
Thanjavur,626,372,5,249
Theni,1495,449,14,1032
Thiruvallur,6075,3722,118,2235
Thiruvarur,681,386,0,295
Thoothukkudi,1949,978,7,964
Tiruchirappalli,1273,702,12,559
Tirunelveli,1551,712,9,830
Tirupathur,379,166,0,213
Tiruppur,288,73,2,213
Tiruvannamalai,2861,1619,20,1222
Vellore,2486,969,6,1511
Viluppuram,1411,861,18,532
Virudhunagar,1738,768,11,959
chengalpattu,2,0,0,2
chennai,4,0,0,4
