detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,39,2,-41
Alappuzha,500,239,1,260
Ernakulam,403,198,2,203
Idukki,183,87,0,96
Kannur,651,394,5,252
Kasaragod,562,418,0,144
Kollam,473,280,2,191
Kottayam,299,177,1,121
Kozhikode,380,224,2,154
Malappuram,895,441,5,449
Other State,0,0,0,0
Palakkad,776,516,1,259
Pathanamthitta,430,227,0,203
Thiruvananthapuram,628,194,6,428
Thrissur,572,361,3,208
Wayanad,138,83,1,54
