detecteddistrict,Confirmed,Recovered,Deceased,Active
,1180,2211,4,-1035
Airport Quarantine,4,0,0,4
Baksa,85,0,1,84
Barpeta,150,55,1,94
Biswanath,58,16,0,42
Bongaigaon,24,7,0,17
Cachar,99,82,0,17
Charaideo,16,0,0,16
Chirang,52,0,0,52
Darrang,102,0,0,102
Dhemaji,96,6,0,90
Dhubri,333,5,0,328
Dibrugarh,77,5,0,72
Dima Hasao,89,9,0,80
Goalpara,57,1,0,56
Golaghat,264,84,0,180
Hailakandi,78,5,2,71
Hojai,267,0,0,267
Jorhat,153,54,0,99
Kamrup,215,20,1,194
Kamrup Metropolitan,6238,387,10,5841
Karbi Anglong,41,7,3,31
Karimganj,105,20,0,85
Kokrajhar,86,10,0,76
Lakhimpur,85,5,0,80
Majuli,21,0,0,21
Morigaon,46,24,0,22
Nagaon,330,25,1,304
Nalbari,27,6,0,21
Sivasagar,29,26,1,2
Sonitpur,122,35,1,86
South Salmara Mankachar,7,0,0,7
Tinsukia,114,6,0,108
Udalguri,227,184,1,42
West Karbi Anglong,28,0,0,28
