detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,8,1,-9
Bokaro,81,37,2,42
Chatra,86,52,0,34
Deoghar,60,43,0,17
Dhanbad,273,141,3,129
Dumka,17,9,0,8
East Singhbhum,646,283,2,361
Garhwa,122,97,0,25
Giridih,113,86,2,25
Godda,20,8,0,12
Gumla,122,96,1,25
Hazaribagh,243,181,3,59
Jamtara,29,28,0,1
Khunti,33,27,1,5
Koderma,249,162,1,86
Latehar,74,55,0,19
Lohardaga,95,49,0,46
Pakur,70,31,0,39
Palamu,81,69,0,12
Ramgarh,158,124,0,34
Ranchi,354,172,4,178
Sahibganj,36,7,2,27
Saraikela-Kharsawan,100,49,0,51
Simdega,364,353,1,10
West Singhbhum,92,57,0,35
