detecteddistrict,Confirmed,Recovered,Deceased,Active
,10,32,3,-25
Amritsar,1021,817,51,153
Barnala,72,49,1,22
Bathinda,128,87,3,38
Faridkot,149,108,0,41
Fatehgarh Sahib,142,118,2,22
Fazilka,103,92,0,11
Ferozepur,147,85,3,59
Gurdaspur,288,221,7,60
Hoshiarpur,193,170,7,16
Jalandhar,1101,673,23,405
Kapurthala,126,88,6,32
Ludhiana,1286,608,31,647
Mansa,57,44,0,13
Moga,138,96,4,38
Pathankot,243,208,6,29
Patiala,508,223,10,275
Rupnagar,124,105,1,18
S.A.S. Nagar,356,252,7,97
Sangrur,622,494,17,111
Shahid Bhagat Singh Nagar,183,123,1,59
Sri Muktsar Sahib,144,133,1,10
Tarn Taran,216,191,5,20
