detecteddistrict,Confirmed,Recovered,Deceased,Active
,361,0,-5,366
Alipurduar,193,186,0,7
Bankura,303,246,0,57
Birbhum,326,300,3,23
Cooch Behar,318,308,0,10
Dakshin Dinajpur,299,214,1,84
Darjeeling,760,510,12,238
Hooghly,1407,974,29,404
Howrah,3616,2527,123,966
Jalpaiguri,457,355,3,99
Jhargram,25,25,0,0
Kalimpong,49,52,3,-6
Kolkata,8566,5207,473,2886
Malda,1051,661,7,383
Murshidabad,320,237,4,79
Nadia,395,309,8,78
North 24 Parganas,4901,2743,157,2001
Other State,65,63,3,-1
Paschim Bardhaman,188,136,5,47
Paschim Medinipur,446,368,7,71
Purba Bardhaman,215,168,3,44
Purba Medinipur,455,336,8,111
Purulia,115,93,0,22
South 24 Parganas,1907,1034,38,835
Uttar Dinajpur,364,299,1,64
other State,1,0,0,1
