detecteddistrict,Confirmed,Recovered,Deceased,Active
,3,136,3,-136
Anantapur,2850,1699,22,1129
Chittoor,2209,1046,19,1144
East Godavari,2231,682,8,1541
Foreign Evacuees,424,298,0,126
Guntur,2797,1319,26,1452
Krishna,2178,1365,73,740
Kurnool,2939,1736,91,1112
Other State,2351,1665,0,686
Prakasam,975,604,5,366
S.P.S. Nellore,956,539,7,410
Srikakulam,646,170,9,467
Visakhapatnam,1276,626,11,639
Vizianagaram,419,140,4,275
West Godavari,1527,458,9,1060
Y.S.R. Kadapa,1645,713,5,927
