detecteddistrict,Confirmed,Recovered,Deceased,Active
BIDAR,1,3,0,-2
Bagalkote,354,148,8,198
Ballari,1554,739,41,774
Belagavi,464,338,8,118
Bengaluru Rural,340,41,7,292
Bengaluru Urban,15302,3422,208,11672
Bidar,912,551,53,308
Chamarajanagara,141,49,0,92
Chikkaballapura,337,205,11,121
Chikkamagaluru,131,84,3,44
Chitradurga,93,71,0,22
Dakshina Kannada,1837,728,32,1077
Davanagere,442,340,14,88
Dharwad,881,306,29,546
Gadag,261,163,7,91
Hassan,620,386,14,220
Haveri,273,114,3,156
Kalaburagi,1954,1439,36,479
Kodagu,128,17,1,110
Kolar,249,90,2,157
Koppal,164,87,2,75
Mandya,661,431,0,230
Mysuru,681,340,20,321
Other State,28,25,3,0
Raichur,656,462,8,186
Ramanagara,355,153,7,195
Shivamogga,378,169,4,205
Tumakuru,328,84,11,233
Udupi,1476,1210,3,263
Uttara Kannada,541,215,3,323
Vijayapura,709,463,13,233
Yadgir,1094,877,1,216
