detecteddistrict,Confirmed,Recovered,Deceased,Active
,21,273,31,-283
Agar Malwa,22,14,1,7
Agar malwa,1,0,0,1
Alirajpur,10,4,1,5
Anuppur,31,29,0,2
Ashoknagar,58,42,1,15
Balaghat,47,29,0,18
Barwani,156,114,4,38
Betul,97,60,0,37
Bhind,321,238,0,83
Bhopal,3335,2456,112,767
Burhanpur,421,379,23,19
Chhatarpur,63,57,0,6
Chhindwara,72,53,2,17
Damoh,54,40,0,14
Datia,60,44,1,15
Dewas,242,201,9,32
Dhar,190,166,7,17
Dindori,33,30,0,3
Guna,29,13,2,14
Gwalior,833,410,3,420
Harda,62,30,3,29
Hoshangabad,45,39,4,2
Indore,5086,3842,243,1001
Jabalpur,496,375,13,108
Jhabua,39,15,1,23
Katni,29,16,3,10
Khandwa,379,278,17,84
Khargone,346,262,13,71
Mandla,6,5,1,0
Mandsaur,164,114,8,42
Morena,844,415,5,424
Narsinghpur,36,30,0,6
Neemuch,480,438,8,34
Niwari,12,8,0,4
Other Region,-1,0,0,-1
Panna,57,34,0,23
Raisen,113,104,5,4
Rajgarh,113,85,6,22
Ratlam,207,159,6,42
Rewa,71,55,1,15
Sagar,436,350,22,64
Satna,48,35,2,11
Sehore,37,12,2,23
Seoni,19,13,0,6
Shahdol,28,22,0,6
Shajapur,94,54,3,37
Sheopur,99,70,2,27
Shivpuri,113,34,0,79
Sidhi,28,18,1,9
Singrauli,28,14,0,14
Tikamgarh,101,39,5,57
Ujjain,869,775,67,27
Umaria,11,9,1,1
Vidisha,76,29,0,47
bhind,1,18,0,-17
dewas,4,2,0,2
dhar,1,0,0,1
ujjain,6,4,0,2
