detecteddistrict,Confirmed,Recovered,Deceased,Active
,2,47,2,-47
Anantnag,775,591,13,171
Bandipora,335,272,4,59
Baramulla,1251,513,30,708
Budgam,530,290,11,229
Doda,124,68,2,54
Ganderbal,160,86,1,73
Jammu,452,318,9,125
Kathua,272,206,1,65
Kishtwar,44,24,0,20
Kulgam,963,647,18,298
Kupwara,709,458,8,243
Pulwama,640,303,5,332
Punch,139,117,1,21
Rajouri,240,85,1,154
Ramban,254,206,0,48
Reasi,53,39,0,14
Samba,218,137,0,81
Shopiyan,887,661,15,211
Srinagar,1545,477,38,1030
Udhampur,298,241,1,56
