detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,1,0,-1
Anjaw,4,0,0,4
Changlang,99,64,0,35
East Siang,10,10,0,0
Lepa Rada,3,1,0,2
Lohit,4,3,0,1
Longding,4,2,0,2
Lower Dibang Valley,3,3,0,0
Lower Siang,3,0,0,3
Lower Subansiri,12,0,0,12
Namsai,16,5,0,11
Pakke Kessang,1,1,0,0
Papum Pare,105,17,0,88
Tawang,1,1,0,0
Tirap,5,3,0,2
Upper Siang,1,1,0,0
Upper Subansiri,1,0,0,1
West Kameng,28,7,2,19
West Siang,2,1,0,1
