detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,17,0,-17
Balod,59,54,0,5
Baloda Bazar,291,247,0,44
Balrampur,153,133,0,20
Bametara,84,60,0,24
Bastar,52,25,1,26
Bijapur,17,2,0,15
Bilaspur,285,202,2,81
Dakshin Bastar Dantewada,52,18,0,34
Dhamtari,8,7,1,0
Durg,187,166,3,18
Gariaband,48,43,0,5
Gaurela Pendra Marwahi,3,3,0,0
Janjgir Champa,280,246,1,33
Jashpur,190,188,0,2
Kabeerdham,111,110,0,1
Kondagaon,5,5,0,0
Korba,340,293,0,47
Koriya,69,59,0,10
Mahasamund,90,89,1,0
Mungeli,123,123,0,0
Narayanpur,92,23,0,69
Other State,3,1,1,1
Raigarh,146,131,2,13
Raipur,597,329,2,266
Rajnandgaon,340,310,2,28
Sukma,6,5,0,1
Surajpur,31,25,0,6
Surguja,84,55,1,28
Unknown,-12,0,0,-12
Uttar Bastar Kanker,78,67,0,11
