detecteddistrict,Confirmed,Recovered,Deceased,Active
,53072,23569,2034,27469
New Delhi,5,0,0,5
North Delhi,3,0,0,3
North East Delhi,1,0,0,1
North West Delhi,3,0,1,2
South Delhi,25,0,0,25
South West Delhi,2,0,1,1
West Delhi,1,1,0,0
