detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,16,0,-16
ARWAL,1,0,0,1
AURANGABAD,1,0,0,1
Araria,161,122,2,37
Arwal,149,113,1,35
Aurangabad,301,218,1,82
BEGUSARAI,1,0,0,1
BHAGALPUR,12,0,0,12
BHOJPUR,7,0,0,7
Banka,288,235,0,53
Begusarai,638,472,4,162
Bhagalpur,825,538,8,279
Bhojpur,285,223,3,59
Buxar,274,224,0,50
Darbhanga,401,298,7,96
EAST CHAMPARAN,11,0,0,11
East Champaran,300,232,6,62
GAYA,19,0,0,19
GOPALGANJ,2,0,0,2
Gaya,313,218,3,92
Gopalganj,394,267,0,127
Jamui,125,85,1,39
Jehanabad,306,246,3,57
KAIMUR,4,0,0,4
KHAGARIA,5,0,0,5
Kaimur,215,198,2,15
Katihar,393,333,1,59
Khagaria,394,301,3,90
Kishanganj,229,173,2,54
Lakhisarai,169,132,0,37
MUZAFFARPUR,3,0,0,3
Madhepura,247,203,1,43
Madhubani,576,431,2,143
Munger,501,350,2,149
Muzaffarpur,598,380,5,213
NALANDA,13,0,0,13
NAWADA,10,0,0,10
Nalanda,431,242,5,184
Nawada,405,308,3,94
Other State,3,0,0,3
PATNA,14,0,0,14
Patna,1544,802,13,729
Purnia,345,287,0,58
Rohtas,412,339,6,67
SARAN,5,0,0,5
SIWAN,5,0,0,5
SUPAUL,3,0,0,3
Saharsa,276,187,0,89
Samastipur,412,343,7,62
Saran,298,229,5,64
Sheikhpura,188,152,0,36
Sheohar,108,91,1,16
Sitamarhi,168,143,3,22
Siwan,542,404,5,133
Supaul,342,290,0,52
VAISHALI,4,0,0,4
Vaishali,319,199,4,116
West Champaran,334,224,3,107
bhagalpur,3,0,0,3
