detecteddistrict,Confirmed,Recovered,Deceased,Active
,6,587,17,-598
Ajmer,720,510,23,187
Alwar,1070,389,5,676
BSF Camp,54,50,0,4
Banswara,100,92,2,6
Baran,74,62,4,8
Barmer,643,385,4,254
Bharatpur,1930,1637,40,253
Bhilwara,285,225,5,55
Bikaner,757,250,21,486
Bundi,18,14,0,4
Chittorgarh,215,205,6,4
Churu,369,316,2,51
Dausa,207,156,4,47
Dholpur,817,691,11,115
Dungarpur,481,443,1,37
Evacuees,61,36,0,25
Ganganagar,70,45,3,22
Hanumangarh,125,70,0,55
Jaipur,3804,2831,162,811
Jaisalmer,118,85,0,33
Jalore,509,278,3,228
Jhalawar,380,366,0,14
Jhunjhunu,446,370,3,73
Jodhpur,3582,2677,63,842
Karauli,128,99,4,25
Kota,776,602,25,149
Nagaur,883,622,15,246
Other State,153,41,30,82
Other state,2,-2,0,4
Pali,1415,1136,15,264
Pratapgarh,142,12,1,129
Rajsamand,355,267,1,87
Sawai Madhopur,121,96,9,16
Sikar,685,602,6,77
Sirohi,636,507,7,122
Tonk,213,171,1,41
Udaipur,830,698,5,127
