detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,0,0,0
Aizawl,80,35,0,45
Champhai,10,8,0,2
Khawzawl,3,3,0,0
Kolasib,12,11,0,1
Lawngtlai,12,8,0,4
Lunglei,57,47,0,10
Mamit,20,16,0,4
Saiha,23,9,0,14
Saitual,3,3,0,0
Serchhip,5,3,0,2
