detecteddistrict,Confirmed,Recovered,Deceased,Active
,4,19,1,-16
Bilaspur,51,37,0,14
Chamba,59,46,0,13
Hamirpur,269,225,3,41
Kangra,298,246,3,49
Kinnaur,35,7,0,28
Kullu,8,5,0,3
Lahaul and Spiti,4,1,0,3
Mandi,38,28,2,8
Shimla,55,37,2,16
Sirmaur,40,28,0,12
Solan,175,94,0,81
Una,133,100,0,33
