detecteddistrict,Confirmed,Recovered,Deceased,Active
,1,5,1,-5
East Jaintia Hills,1,0,0,1
East Khasi Hills,136,17,0,119
North Garo Hills,1,1,0,0
Ribhoi,16,0,0,16
South West Garo Hills,7,6,0,1
West Garo Hills,8,4,0,4
West Jaintia Hills,5,5,0,0
West Khasi Hills,1,0,0,1
