dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d,Total Tested,daily_test
2020-06-27,204,6969,145.0,4225.0,2.0,94.0,345426.0,6523.0
2020-06-28,127,7096,91.0,4316.0,1.0,95.0,351865.0,6439.0
2020-06-29,144,7240,269.0,4585.0,1.0,96.0,358530.0,6665.0
2020-06-30,260,7500,137.0,4722.0,6.0,102.0,365058.0,6528.0
2020-07-01,198,7698,134.0,4856.0,4.0,106.0,371486.0,6428.0
2020-07-02,154,7852,118.0,4974.0,10.0,116.0,377961.0,6475.0
2020-07-03,170,8022,101.0,5075.0,4.0,120.0,385501.0,7540.0
2020-07-04,227,8249,68.0,5143.0,8.0,128.0,392919.0,7418.0
2020-07-05,183,8432,112.0,5255.0,5.0,133.0,399385.0,6466.0
2020-07-06,246,8678,63.0,5318.0,6.0,139.0,406212.0,6827.0
2020-07-07,256,8934,81.0,5399.0,5.0,144.0,413358.0,7146.0
2020-07-08,330,9264,168.0,5567.0,6.0,150.0,421571.0,8213.0
2020-07-09,240,9504,128.0,5695.0,5.0,155.0,429787.0,8216.0
2020-07-10,387,9891,91.0,5786.0,5.0,160.0,437928.0,8141.0
